Price,Room_Count,Area(sqrmt),Age,Floor
5000,Stüdyo,25,40,                      2. Kat
5500,2 + 1,100,28,                      Yüksek Giriş
10500,2 + 1,125,38,                      1. Kat
10500,2 + 1,125,30,                      1. Kat
4500,2 + 1,70,6,                      Yüksek Giriş
6000,2 + 1,85,38,                      4. Kat
4000,1 + 1,55,40,                      Kot 2
7500,3 + 1,120,25,                      2. Kat
9500,2 + 1,89,6,                      2. Kat
9500,2 + 1,90,6,                      1. Kat
5000,2 + 1,67,45,                      4. Kat
5500,2 + 1,90,30,                      3. Kat
7500,3 + 1,140,40,                      4. Kat
6300,2 + 1,110,31,                      1. Kat
5000,2 + 1,95,35,                      En Üst Kat
1500,Stüdyo,37,8,                      2. Kat
4500,2 + 1,65,6,                      Yüksek Giriş
9500,2 + 1,85,50,                      3. Kat
10000,2 + 1,125,18,                      1. Kat
8000,3 + 1,115,38,                      4. Kat
10500,2 + 1,140,38,                      1. Kat
6500,2 + 1,85,40,                      2. Kat
13500,2 + 1,90,30,                      1. Kat
8700,3 + 1,130,40,                      Ara Kat
8000,3 + 1,115,40,                      1. Kat
8000,3 + 1,105,30,                      Ara Kat
5000,2 + 1,95,35,                      Ara Kat
7500,3 + 1,125,35,                      Ara Kat
5500,3 + 1,97,35,                      3. Kat
3500,Stüdyo,50,25,                      Zemin
10000,3 + 1,140,30,                      4. Kat
10500,2 + 1,120,30,                      2. Kat
9000,2 + 1,100,35,                      1. Kat
10500,2 + 1,95,35,                      Ara Kat
4000,Stüdyo,25,25,                      3. Kat
6000,2 + 1,75,35,                      En Üst Kat
5500,2 + 1,85,30,                      2. Kat
9000,2 + 1,100,35,                      1. Kat
9000,2 + 1,92,30,                      1. Kat
4000,Stüdyo,25,25,                      3. Kat
12000,3 + 1,175,42,                      4. Kat
10000,3 + 1,115,32,                      1. Kat
7000,2 + 1,90,40,                      2. Kat
8000,3 + 1,130,49,                      4. Kat
9500,1 + 1,80,15,                      3. Kat
6500,2 + 1,65,45,                      2. Kat
8000,3 + 1,120,35,                      3. Kat
6000,2 + 1,80,30,                      4. Kat
20000,3 + 1,120,30,                      4. Kat
5000,Stüdyo,25,40,                      2. Kat
7750,1 + 1,68,35,                      Yüksek Giriş
8500,5 + 1,150,35,                      5. Kat
10500,2 + 1,120,36,                      Ara Kat
8000,2 + 1,90,40,                      2. Kat
7500,2 + 1,100,35,                      1. Kat
7000,Stüdyo,75,30,                      1. Kat
13500,1 + 1,100,38,                      1. Kat
7000,2 + 1,95,40,                      3. Kat
5000,1 + 1,70,35,                      1. Kat
5000,Stüdyo,25,40,                      2. Kat
5000,Stüdyo,25,25,                      Ara Kat
7000,2 + 1,90,35,                      1. Kat
15000,2 + 1,100,25,                      4. Kat
4500,2 + 1,85,6,                      Yüksek Giriş
37000,2 + 1,95,10,                      6. Kat
5000,2 + 1,80,38,                      2. Kat
13000,5 + 2,300,16,                      3. Kat
3850,Stüdyo,30,10,                      Yüksek Giriş
7000,2 + 1,95,35,                      2. Kat
7500,3 + 1,125,35,                      Ara Kat
5000,1 + 1,75,4,                      En Üst Kat
15000,3 + 1,120,38,                      1. Kat
5500,3 + 1,90,35,                      1. Kat
3000,2 + 1,85,25,                      4. Kat
7000,1 + 1,65,40,                      4. Kat
7000,1 + 1,95,34,                      Bahçe Katı
4000,Stüdyo,25,26,                      Zemin
5500,1 + 1,60,15,                      2. Kat
4000,2 + 1,75,25,                      1. Kat
7100,2 + 1,90,36,                      3. Kat
5250,2 + 1,70,45,                      Yüksek Giriş
9500,1 + 1,90,6,                      1. Kat
5000,2 + 1,80,30,                      2. Kat
15000,4 + 2,180,40,                      2. Kat
7000,2 + 1,95,25,                      1. Kat
14000,2 + 1,110,20,                      Teras Katı
5500,Stüdyo,55,5,                      2. Kat
15000,2 + 1,100,32,                      1. Kat
6000,1 + 1,65,30,                      2. Kat
8750,3 + 1,120,30,                      4. Kat
6500,1 + 1,75,30,                      Giriş Katı
